Player,Pos,Team,GP,GS,Comp,Inc,Yds,TD,Int,Sks,1st,Att,Yds,TD,1st,Tgt,Rec,Yds,TD,1st,Yds,TD,2PT,Total,Lost,Fan Pts,PPG
R. Turbin,TE, NE,15,,0,0,0,0,0,0,0,47,164,7,20,35,26,179,1,9,0,0,0,0,0,0,0.0
J. Graham,WR, NE,16,,0,0,0,0,0,0,0,1,0,0,0,95,65,923,6,45,0,0,0,2,2,0,0.0
C. Sims,RB,Dal,7,,0,0,0,0,0,0,0,51,149,1,6,32,24,190,1,9,0,0,0,1,1,0,0.0
D. Thomas,RB,Ind,16,,0,0,0,0,0,0,0,0,0,0,0,144,90,1083,5,50,0,0,1,2,2,0,0.0
G. Tate,TE,Sea,16,,0,0,0,0,0,0,0,10,4,0,1,135,91,1077,4,46,0,0,1,2,1,0,0.0
A. Jeffery,RB, TB,12,,0,0,0,0,0,0,0,0,0,0,0,94,52,821,2,41,0,0,0,0,0,0,0.0
D. Jackson,WR,Den,15,,0,0,0,0,0,0,0,0,0,0,0,100,56,1005,4,35,0,0,0,0,0,0,0.0
J. Edelman,WR,Det,16,,0,0,0,0,0,0,0,12,57,0,3,159,98,1106,3,55,179,0,0,2,2,0,0.0
M. Bryant,WR,Phi,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
D. Washington,WR, TB,14,,0,0,0,0,0,0,0,87,467,2,19,23,17,115,0,4,20,0,0,1,1,0,0.0
J. McCown,WR,Pit,5,,90,75,1100,6,6,18,56,7,21,0,0,0,0,0,0,0,0,0,1,7,4,0,0.0
J. Landry,RB,Oak,16,,0,1,0,0,0,0,0,5,17,0,1,131,94,1136,4,52,163,0,1,1,2,0,0.0
D. Booker,QB,NYJ,16,,0,0,0,0,0,0,0,174,612,4,30,45,31,265,1,8,0,0,0,4,3,0,0.0
A. Robinson,WR,Mia,16,,0,0,0,0,0,0,0,0,0,0,0,151,73,883,6,51,0,0,1,1,0,0,0.0
J. White,RB,Buf,16,,0,0,0,0,0,0,0,39,166,0,8,86,60,551,5,26,28,0,0,0,0,0,0.0
M. Mack,RB,Hou,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
D. Hopkins,WR,Jax,16,,0,0,0,0,0,0,0,0,0,0,0,151,78,954,4,56,0,0,0,0,0,0,0.0
M. Crabtree,RB, NE,16,,0,0,0,0,0,0,0,0,0,0,0,145,89,1003,8,56,0,0,1,2,0,0,0.0
D. McFadden,RB,Ind,3,,0,0,0,0,0,0,0,24,87,0,5,5,3,17,0,1,30,0,0,0,0,0,0.0
K. Benjamin,WR,Hou,16,,0,0,0,0,0,0,0,0,0,0,0,118,63,941,7,50,0,0,0,1,1,0,0.0
D. Foreman,WR,Oak,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
M. Wallace,RB,Dal,16,,0,0,0,0,0,0,0,5,31,0,2,117,72,1017,4,43,0,0,1,1,0,0,0.0
E. Sanders,WR,Car,16,,0,0,0,0,0,0,0,1,4,0,0,137,79,1032,5,50,0,0,0,1,0,0,0.0
J. Reed,WR,Bal,12,,0,0,0,0,0,0,0,0,0,0,0,89,66,686,6,41,0,0,0,1,1,0,0.0
G. Olsen,WR,Den,16,,0,0,0,0,0,0,0,0,0,0,0,129,80,1073,3,54,0,0,1,0,0,0,0.0
J. Crowder,TE,Was,16,,0,0,0,0,0,0,0,2,-2,0,1,99,67,847,7,34,328,1,0,2,1,0,0.0
D. Adams,TE,Car,16,,0,0,0,0,0,0,0,0,0,0,0,121,75,997,12,45,0,0,0,2,1,0,0.0
T. Gabriel,WR,LAC,13,,0,0,0,0,0,0,0,4,51,1,3,50,35,579,6,21,0,0,0,0,0,0,0.0
T. Ginn Jr.,WR,NYJ,16,,0,0,0,0,0,0,0,14,98,0,4,95,54,752,4,27,593,0,0,0,2,0,0.0
T. Rawls,WR,Was,9,,0,0,0,0,0,0,0,109,349,3,21,17,13,96,0,4,0,0,0,0,0,0,0.0
R. Burkhead,RB, SF,16,,0,0,0,0,0,0,0,74,344,2,23,20,17,145,0,8,114,0,0,1,1,0,0.0
J. McKinnon,WR, GB,15,,0,1,0,0,0,0,0,159,539,2,21,53,43,255,2,16,0,0,1,0,0,0,0.0
R. Cobb,WR, NO,13,,0,0,0,0,0,0,0,10,33,0,4,84,60,610,4,36,54,0,0,0,0,0,0.0
J. Williams,WR,Atl,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
T. Williams,QB, TB,16,,0,0,0,0,0,0,0,0,0,0,0,119,69,1059,7,48,0,0,0,0,0,0,0.0
D. Moncrief,WR,NYG,9,,0,0,0,0,0,0,0,1,-1,0,0,56,30,307,7,22,0,0,0,0,0,0,0.0
J. Matthews,WR,Ind,14,,0,0,0,0,0,0,0,0,0,0,0,117,73,804,3,38,0,0,0,1,0,0,0.0
S. Diggs,RB,Min,13,,0,0,0,0,0,0,0,3,10,0,1,112,84,903,3,47,45,0,0,0,0,0,0.0
W. Snead,WR, GB,15,,1,0,50,1,0,0,1,0,0,0,0,104,72,895,4,51,0,0,0,2,0,0,0.0
T. Kelce,WR,LAC,16,,0,0,0,0,0,0,0,1,-5,0,0,117,85,1125,4,55,0,0,1,0,0,0,0.0
J. Brown,RB, KC,15,,0,0,0,0,0,0,0,1,10,0,1,72,39,517,2,28,170,0,0,0,0,0,0.0
R. Matthews,WR,Buf,16,,0,0,0,0,0,0,0,0,0,0,0,108,65,945,9,43,0,0,0,1,1,0,0.0
D. Parker,WR,Min,15,,0,0,0,0,0,0,0,0,0,0,0,88,56,744,4,34,0,0,0,0,0,0,0.0
S. Watkins,WR, NO,8,,0,0,0,0,0,0,0,0,0,0,0,52,28,430,2,20,0,0,0,0,0,0,0.0
A. Thielen,WR,Mia,16,,0,0,0,0,0,0,0,2,15,0,1,92,69,967,5,44,27,0,0,1,1,0,0.0
M. Bennett,TE, KC,16,,0,0,0,0,0,0,0,2,10,0,0,73,55,701,7,31,0,0,0,0,0,0,0.0
K. Britt,WR,LAR,15,,0,0,0,0,0,0,0,0,0,0,0,111,68,1002,5,47,0,0,0,2,1,0,0.0
B. Perriman,WR,Ari,16,,0,0,0,0,0,0,0,1,2,0,0,66,33,499,3,19,0,0,0,0,0,0,0.0
P. Lynch,RB,Den,3,,49,34,497,2,1,9,25,11,25,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0
C. Meredith,WR,Ten,14,,1,0,2,1,0,0,1,1,6,0,0,97,66,888,4,44,0,0,0,3,2,0,0.0
L. Fitzgerald,WR,Chi,16,,0,1,0,0,0,0,0,2,5,0,0,150,107,1023,6,59,0,0,0,2,1,0,0.0
M. Jones Jr.,RB,Mia,15,,0,0,0,0,0,0,0,1,3,0,0,103,55,930,4,41,0,0,0,0,0,0,0.0
B. Marshall,WR,Min,15,,0,0,0,0,0,0,0,0,0,0,0,128,59,788,3,43,0,0,0,0,0,0,0.0
D. Lewis,TE, GB,7,,0,0,0,0,0,0,0,64,283,0,14,24,17,94,0,4,35,0,0,1,0,0,0.0
R. Woods,WR,Ari,13,,0,0,0,0,0,0,0,1,6,0,1,76,51,613,1,32,0,0,0,0,0,0,0.0
W. Fuller V,WR,Cle,14,,0,0,0,0,0,0,0,1,-3,0,0,92,47,635,2,31,196,1,0,0,0,0,0.0
K. Rudolph,WR,Bal,16,,0,0,0,0,0,0,0,0,0,0,0,132,83,840,7,50,0,0,0,0,0,0,0.0
K. Allen,WR,Det,1,,0,0,0,0,0,0,0,0,0,0,0,7,6,63,0,5,0,0,0,0,0,0,0.0
C. Samuel,RB, NE,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
M. Lee,WR,LAR,16,,1,0,20,1,0,0,1,6,35,0,2,105,63,851,3,44,548,1,0,0,1,0,0.0
E. Decker,RB, NE,3,,0,0,0,0,0,0,0,0,0,0,0,21,9,194,2,9,0,0,0,0,0,0,0.0
C. Coleman,WR, SF,10,,0,0,0,0,0,0,0,2,10,0,0,73,33,413,3,17,0,0,0,0,0,0,0.0
S. Shepard,TE,Min,16,,0,0,0,0,0,0,0,3,31,0,1,105,65,683,8,42,0,0,0,0,0,0,0.0
D. Woodhead,RB,Bal,2,,0,0,0,0,0,0,0,19,116,0,6,8,6,35,1,2,0,0,0,0,0,0,0.0
H. Henry,WR,Car,15,,0,0,0,0,0,0,0,0,0,0,0,53,36,478,8,30,10,0,0,1,1,0,0.0
K. Stills,RB,Pit,16,,0,0,0,0,0,0,0,0,0,0,0,81,42,726,9,30,0,0,0,0,0,0,0.0
P. Garcon,WR,Jax,16,,0,0,0,0,0,0,0,0,0,0,0,114,79,1041,3,52,0,0,0,0,0,0,0.0
C. Patterson,WR,Phi,16,,0,0,0,0,0,0,0,7,43,0,2,70,52,453,2,23,801,1,0,0,0,0,0.0
T. Eifert,RB,Phi,8,,0,0,0,0,0,0,0,0,0,0,0,47,29,394,5,23,0,0,0,0,0,0,0.0
J. Kerley,WR,Ten,16,,0,0,0,0,0,0,0,0,0,0,0,115,64,667,3,33,190,0,0,1,1,0,0.0
D. Walker,WR,Cle,15,,0,0,0,0,0,0,0,2,11,0,1,102,65,800,7,35,0,0,0,1,0,0,0.0
C. Beasley,WR,NYG,16,,0,1,0,0,0,0,0,1,7,0,0,98,75,833,5,51,3,0,0,0,0,0,0.0
J. Doctson,TE,LAC,2,,0,0,0,0,0,0,0,0,0,0,0,6,2,66,0,1,0,0,0,0,0,0,0.0
T. Hightower,WR,Mia,16,,0,0,0,0,0,0,0,133,548,4,32,26,22,200,1,11,61,0,0,0,0,0,0.0
J. Rodgers,WR,LAC,10,,0,0,0,0,0,0,0,129,560,2,29,16,13,98,0,3,0,0,0,0,0,0,0.0
K. White,WR,Oak,4,,0,0,0,0,0,0,0,1,9,0,0,36,19,187,0,8,0,0,0,0,0,0,0.0
J. Thomas,TE,Cin,9,,0,0,0,0,0,0,0,0,0,0,0,51,30,281,4,15,0,0,0,0,0,0,0.0
Z. Ertz,RB,Jax,14,,0,0,0,0,0,0,0,0,0,0,0,106,78,816,4,42,8,0,0,0,0,0,0.0
C. Davis,RB,LAR,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
B. LaFell,WR, SF,16,,0,0,0,0,0,0,0,1,-2,0,0,107,64,862,6,42,0,0,0,0,0,0,0.0
J. Nelson,TE,Ten,15,,0,0,0,0,0,0,0,4,83,1,3,74,34,568,6,26,53,0,0,1,1,0,0.0
C. West,WR,Dal,15,,0,0,0,0,0,0,0,88,293,1,14,34,28,188,2,10,0,0,0,0,0,0,0.0
A. Kamara,WR,LAR,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
J. Maclin,RB,Chi,12,,0,1,0,0,0,0,0,1,-1,0,0,76,44,536,2,29,0,0,0,0,0,0,0.0
T. Smith,WR,Was,12,,0,0,0,0,0,0,0,0,0,0,0,49,20,267,3,14,13,0,0,0,0,0,0.0
J. Doyle,RB, GB,16,,0,0,0,0,0,0,0,0,0,0,0,75,59,584,5,32,0,0,0,1,1,0,0.0
A. Hurns,WR, SF,11,,0,0,0,0,0,0,0,0,0,0,0,76,35,477,3,23,0,0,0,1,0,0,0.0
C. Ivory,RB, SF,11,,0,0,0,0,0,0,0,117,439,3,21,28,20,186,0,9,0,0,0,5,3,0,0.0
M. Williams,RB, TB,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Z. Jones,TE,Det,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
M. Jones,TE,Mia,7,,0,0,0,0,0,0,0,99,460,3,28,8,8,73,0,4,0,0,0,3,2,0,0.0
T. Williams,TE,Phi,16,,0,0,0,0,0,0,0,0,0,0,0,61,44,594,4,34,0,0,0,1,1,0,0.0
Z. Zenner,WR,Ten,14,,0,0,0,0,0,0,0,88,334,4,22,23,18,196,0,9,0,0,0,1,1,0,0.0
D. Allen,WR,Cin,14,,0,0,0,0,0,0,0,0,0,0,0,52,35,406,6,25,0,0,1,1,0,0,0.0
P. Dorsett,WR, NE,15,,0,0,0,0,0,0,0,2,10,0,0,59,33,528,2,20,0,0,0,1,0,0,0.0
T. Boyd,WR,Ari,16,,0,0,0,0,0,0,0,4,58,0,2,81,54,603,1,33,0,0,0,1,1,0,0.0
M. Asiata,RB, NO,16,,0,0,0,0,0,0,0,121,402,6,27,38,32,263,0,9,11,0,0,1,1,0,0.0
M. Wheaton,WR,Bal,3,,0,0,0,0,0,0,0,0,0,0,0,9,4,51,1,2,0,0,1,0,0,0,0.0
O. Howard,TE, NO,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
J. Ross,WR,Jax,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
C. Fleener,TE,Ind,16,,0,0,0,0,0,0,0,1,2,1,1,82,50,631,3,28,0,0,0,2,0,0,0.0
J. Langford,WR,Chi,12,,0,0,0,0,0,0,0,62,200,4,12,27,19,142,0,7,0,0,0,2,2,0,0.0
C. Brate,RB,Jax,15,,0,0,0,0,0,0,0,0,0,0,0,81,57,660,8,40,0,0,0,1,0,0,0.0
K. Dixon,WR,Hou,12,,0,0,0,0,0,0,0,88,382,2,26,41,30,162,1,7,0,0,0,1,0,0,0.0
C. Fiedorowicz,WR,Buf,15,,0,0,0,0,0,0,0,0,0,0,0,89,54,559,4,30,0,0,0,1,0,0,0.0
M. Sanu,RB,LAC,15,,0,0,0,0,0,0,0,1,5,0,0,81,59,653,4,33,0,0,1,1,1,0,0.0
D. Funchess,WR,Dal,15,,0,0,0,0,0,0,0,0,0,0,0,58,23,371,4,20,0,0,1,0,0,0,0.0
S. Draughn,RB,Det,16,,0,0,0,0,0,0,0,74,196,4,15,39,29,263,2,10,0,0,0,1,1,0,0.0
R. Anderson,WR, NE,16,,0,0,0,0,0,0,0,3,42,0,2,78,42,587,2,18,0,0,0,1,1,0,0.0
E. Ebron,WR, NE,13,,0,0,0,0,0,0,0,1,1,1,1,85,61,711,1,37,0,0,0,0,0,0,0.0
D. Inman,TE, NE,16,,0,0,0,0,0,0,0,0,0,0,0,97,58,810,4,37,0,0,0,0,0,0,0.0
T. Yeldon,WR,Ind,15,,0,0,0,0,0,0,0,130,465,1,21,68,50,312,1,16,0,0,0,2,1,0,0.0
